990799323, 1949211466, 2022920880, 1328507670, 1161268911, 1962541520, 948780022, 1795265419, 1354765799, 1718426402, 
1195118323, 1478843431, 633624590, 14546832, 889985087, 1924200216, 2017223380, 1855349112, 1228175467, 512897430, 
1241295835, 1751748323, 1534601618, 1116979667, 447364557, 1879768594, 1943858063, 1663059587, 1663001978, 2101246714, 
182922759, 1743113438, 966658478, 1574769638, 1933194309, 1309731990, 1292455428, 63126460, 685211979, 1222133693, 
1987324825, 935872107, 1711877982, 1631529454, 364696844, 1929370285, 1341712600, 2112542238, 196828315, 1458628044, 
1087205981, 1515970312, 1245862643, 912696586, 622949370, 1386534647, 414609848, 905941213, 881143113, 1428983964, 
18683457, 1433204082, 132263441, 1401002732, 1535503643, 1599488532, 512184953, 1206338599, 228836170, 1727736744, 
631744788, 1954096920, 1170137133, 6041774, 673056252, 305423728, 39870341, 2050555811, 752282823, 665477919, 
538055994, 1978799472, 1466231272, 204373934, 1014040733, 814436094, 497250795, 53961892, 951820268, 546659662, 
895122142, 386514215, 1329466994, 1403711662, 1203450236, 554120743, 803608666, 310875250, 96025811, 912691959, 
